,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
0,0.0,0.08523124068418474,0.08523124068418474,1.0,0.15707480118329556,1.0,1.0
1,0.005,0.1375353088941932,0.08900402359036542,0.9874036932860463,0.16328924483274682,0.9874036932860463,0.9416490052642373
2,0.01,0.20550558167168723,0.09421067697151854,0.966002201296319,0.17167820388824293,0.966002201296319,0.8653517467696725
3,0.015,0.2691397658929111,0.0998281498326722,0.9448452977864743,0.18057730513030265,0.9448452977864743,0.7938173697044278
4,0.02,0.3272183366514139,0.10577259312100486,0.9247890424361013,0.18983306137818504,0.9247890424361013,0.7284587862628473
5,0.025,0.3793869020940389,0.11176114890400604,0.9041213158860217,0.19893174754799736,0.9041213158860217,0.6695038855085345
6,0.03,0.4259373143351505,0.11769596974044606,0.8828421181362358,0.20770215643117115,0.8828421181362358,0.616633622752444
7,0.035,0.46795359551381605,0.12329296799479762,0.8578940931882109,0.21560070074069523,0.8578940931882109,0.5683781135343315
8,0.04,0.5058214073525886,0.12878931234152063,0.8323345970404794,0.2230634350982416,0.8323345970404794,0.5246006244160343
9,0.045,0.5411250899008745,0.13518959516394943,0.8122783416901064,0.23180009771759613,0.8122783416901064,0.4841389211731729
10,0.05,0.5708627356966406,0.14030612244897958,0.7869634340222575,0.23815251383209046,0.7869634340222575,0.4492718944417857
11,0.055,0.5981613316795047,0.14595426253584168,0.7656842362724716,0.24517366957747586,0.7656842362724716,0.41744718670950987
12,0.06,0.6232710368046362,0.1515574383254423,0.7437935673229791,0.2518061564576562,0.7437935673229791,0.3879583418791732
13,0.065,0.6456915331616965,0.15750789396874254,0.7259386082915494,0.2588522588522589,0.7259386082915494,0.3617852829242725
14,0.07,0.6659231386610241,0.16264413294144245,0.7038033508621744,0.2642271756846721,0.7038033508621744,0.3376062532759053
15,0.075,0.6843827848945684,0.16815301924751525,0.6848477436712731,0.2700096432015429,0.6848477436712731,0.3156605364508557
16,0.08,0.7014874034542783,0.17331885816463374,0.6638131344013697,0.27487023673882766,0.6638131344013697,0.2950023928351678
17,0.085,0.7170076819645816,0.17900043988765946,0.6469365292894704,0.28041346408693346,0.6469365292894704,0.2764636175109957
18,0.09,0.7312250492500443,0.18473162172807678,0.6309159838571603,0.28578550853091067,0.6309159838571603,0.25942891000660884
19,0.095,0.7440040025432827,0.18986862529814863,0.6133056133056133,0.28996819890141656,0.6133056133056133,0.2438185091497459
20,0.1,0.7550631130197313,0.19453748006379584,0.5966735966735967,0.2934119132814144,0.5966735966735967,0.23017934869305623
21,0.105,0.7654864028184576,0.19947121034077556,0.581264522440993,0.2970160912357444,0.581264522440993,0.21734919441216016
22,0.11,0.7750758294332857,0.2043850361743427,0.5665892136480372,0.3004052520667856,0.5665892136480372,0.20549896310476057
23,0.115,0.7837792764152222,0.20816497143653337,0.548122783416901,0.301736905883937,0.548122783416901,0.1942640322690914
24,0.12,0.7922117178623918,0.21310755416747998,0.5340589458236517,0.3046496215424326,0.5340589458236517,0.18373555753059412
25,0.125,0.7994037878235128,0.21736465781409603,0.5204842851901675,0.3066613827142703,0.5204842851901675,0.17460860053326044
26,0.13,0.8061163864538926,0.22119396597838878,0.5056866821572704,0.3077667373748651,0.5056866821572704,0.16589184385041367
27,0.135,0.8125996727087004,0.22561863173216884,0.492845786963434,0.309535696455317,0.492845786963434,0.15760807638841412
28,0.14,0.8186034876327667,0.22982312287688883,0.47988259752965634,0.3107995722941666,0.47988259752965634,0.1498370593195233
29,0.145,0.8242320641240788,0.2343730886850153,0.4686315274550569,0.3124719696660823,0.4686315274550569,0.14263576490964203
30,0.15,0.8292560898070649,0.23829271404874314,0.4567689861807509,0.31319441532849773,0.4567689861807509,0.13603837651831086
31,0.155,0.8341446127226675,0.24300617981261213,0.4472300354653296,0.31490570911909066,0.4472300354653296,0.12980561062874596
32,0.16,0.8383556218013529,0.24677029360967184,0.4368350250703192,0.31538054034963797,0.4368350250703192,0.12423372302363211
33,0.165,0.8425145144310447,0.2511130259945426,0.4276629570747218,0.31642763425779313,0.4276629570747218,0.11883275221622114
34,0.17,0.8463190152075798,0.25443123177024907,0.4160450042802984,0.315760163356228,0.4160450042802984,0.11359130375333293
35,0.17500000000000002,0.8502590187514983,0.2591641372869484,0.4072398190045249,0.3167506896223723,0.4072398190045249,0.10846379982224652
36,0.18,0.8533547358217201,0.26195862960568844,0.3964779258896906,0.3154770593100764,0.3964779258896906,0.10407693534787266
37,0.185,0.8565755323695264,0.2657548040614249,0.38730585789409316,0.31521847317607243,0.38730585789409316,0.099701465326679
38,0.19,0.8594419370641762,0.268936096117012,0.3777669071786719,0.3141941717947414,0.3777669071786719,0.0956792233540712
39,0.195,0.8625063842650017,0.27316322837495477,0.36920631038278096,0.3140048884497374,0.36920631038278096,0.09153164239648137
40,0.2,0.8652894026412616,0.277157074453103,0.36101259630671395,0.3135755258126195,0.36101259630671395,0.08772589503429729
41,0.20500000000000002,0.8678848018011445,0.2816504854368932,0.3547755900697077,0.31401201493748987,0.3547755900697077,0.08430755908023979
42,0.21,0.8704280845120337,0.2860591430295715,0.34780481839305366,0.31392460952591206,0.34780481839305366,0.08087782867300197
43,0.215,0.8727107849779547,0.28977805564238823,0.34010028127675185,0.31292899741195,0.34010028127675185,0.07766459287618788
44,0.22,0.8748684059662911,0.2936165624326073,0.33300721536015654,0.3120738066586442,0.33300721536015654,0.07464506278343708
45,0.225,0.8770572968240236,0.29774150268336314,0.3256695609636786,0.31107996028269375,0.3256695609636786,0.07156856042478521
46,0.23,0.878943912277593,0.30121457489878545,0.318454200807142,0.309594578528118,0.318454200807142,0.06883389166153919
47,0.23500000000000001,0.8808201044413638,0.30457218288731547,0.3103827809710163,0.30745003028467593,0.3103827809710163,0.066030856179212
48,0.24,0.882831799372518,0.30954748881153654,0.30451265745383393,0.3070094322174958,0.30451265745383393,0.06328479296278566
49,0.245,0.8843431763933333,0.3131481244398925,0.29913171089641677,0.3059794846134601,0.29913171089641677,0.06113124131172942
